id,reason,timestamp,postal_code
37828,5,2020-03-10 11:29:37,8049
31038,7,2020-03-22 09:11:03,8045
39223,7,2020-03-17 04:49:02,8026
26687,6,2020-03-13 21:55:01,8220
29710,4,2020-03-21 05:26:21,8220
61302,6,2020-03-19 10:10:18,8026
71632,2,2020-03-25 11:21:09,8040
39881,6,2020-02-29 18:33:06,8201
17344,7,2020-03-25 06:50:38,8042
73283,2,2020-03-08 17:03:09,8028
80880,1,2020-03-16 05:26:47,8025
40929,1,2020-03-24 11:49:23,8042
88551,7,2020-03-25 23:25:13,8010
30941,8,2020-03-04 00:28:06,8020
56423,5,2020-03-26 16:03:51,8047
13601,1,2020-03-01 00:51:42,8046
56866,3,2020-03-17 21:09:50,8201
96026,3,2020-03-23 02:21:33,8011
59816,4,2020-03-23 08:28:07,8040
11722,4,2020-03-18 17:10:58,8041
32001,7,2020-03-23 20:54:22,8040
53278,3,2020-03-15 02:13:35,8042
36069,7,2020-03-16 07:37:11,8010
54935,4,2020-03-08 06:19:17,8201
13057,5,2020-03-04 13:49:26,8028
80358,3,2020-03-07 01:32:50,8036
82850,8,2020-03-05 04:32:11,8049
54115,5,2020-03-22 07:50:43,8028
45776,2,2020-03-11 19:01:01,8042
7149,6,2020-03-25 04:48:47,8042
3062,2,2020-02-29 17:12:54,8028
38304,2,2020-03-02 11:48:20,8046
78508,2,2020-03-26 00:36:40,8016
73033,2,2020-03-21 06:21:59,8026
7131,5,2020-03-06 22:04:14,8025
54979,3,2020-03-16 09:40:23,8310
70214,4,2020-03-12 03:51:25,8220
59504,8,2020-03-02 09:09:16,8027
70374,1,2020-03-20 08:39:28,8028
59950,7,2020-03-18 21:10:13,8020
80933,7,2020-03-08 04:01:06,8201
34188,4,2020-03-01 15:36:32,8026
65894,3,2020-03-11 05:58:27,8310
57061,6,2020-03-23 07:30:11,8047
14239,7,2020-03-24 22:45:38,8021
34137,5,2020-03-13 09:42:26,8041
92260,5,2020-03-26 15:08:28,8200
94906,6,2020-03-09 01:24:46,8036
52809,6,2020-03-19 23:57:50,8042
71169,5,2020-03-17 09:59:50,8046
20079,2,2020-03-20 18:57:36,8020
64131,5,2020-03-01 12:33:24,8036
26147,4,2020-03-19 18:16:45,8020
95808,1,2020-03-20 02:44:31,8046
56358,7,2020-03-01 09:26:33,8015
67583,4,2020-03-08 00:07:32,8028
53074,2,2020-03-14 16:54:42,8046
71207,4,2020-03-21 11:51:06,8010
28690,7,2020-03-04 03:56:32,8201
11198,7,2020-03-26 21:22:28,8049
54559,7,2020-03-10 06:01:17,8047
53646,5,2020-03-10 11:46:46,8021
10987,4,2020-03-08 09:42:51,8048
66503,6,2020-03-10 14:46:31,8026
71340,6,2020-03-20 08:03:44,8045
17181,3,2020-03-12 17:38:03,8042
32729,2,2020-03-08 04:21:14,8310
40540,1,2020-03-16 09:47:47,8035
73621,4,2020-03-25 11:22:57,8045
