id,reason,timestamp,postal_code
85173,3,2020-03-26 02:48:59,3012
4849,3,2020-03-18 00:12:11,3032
49333,3,2020-03-20 19:12:42,4152
28885,2,2020-03-20 14:29:03,3022
56248,5,2020-03-05 01:37:22,4041
78881,7,2020-03-12 01:02:26,3075
34667,7,2020-03-11 21:51:14,4047
12513,8,2020-03-25 19:40:28,3017
94703,4,2020-03-09 12:05:41,3077
59539,2,2020-03-14 13:29:05,3101
57419,8,2020-03-26 07:16:25,4048
36410,4,2020-03-09 02:20:51,3022
83008,4,2020-03-06 00:04:51,3060
32915,7,2020-03-25 05:24:05,3083
3525,3,2020-03-09 19:43:29,4044
37347,2,2020-03-18 22:51:54,4101
3290,8,2020-03-01 19:55:12,4101
1196,1,2020-02-28 03:17:52,4006
48041,3,2020-03-04 20:21:19,3036
4014,2,2020-03-22 22:37:43,3118
42149,8,2020-03-08 04:57:36,4048
25974,8,2020-03-23 16:45:26,3011
71662,1,2020-03-25 15:57:34,3052
1649,5,2020-03-07 14:54:46,3115
24298,2,2020-03-25 01:44:10,3071
91889,8,2020-03-07 08:28:09,3035
41342,2,2020-03-21 06:18:47,3115
41887,3,2020-03-22 04:38:47,4188
46499,1,2020-03-23 04:50:11,3083
40172,4,2020-02-28 07:26:46,3032
86991,2,2020-03-06 12:44:41,4103
52007,7,2020-02-29 19:44:18,4108
30006,2,2020-03-15 22:16:53,4159
62247,1,2020-03-12 05:51:25,3090
82713,8,2020-02-28 11:42:53,4005
68213,2,2020-03-23 05:05:10,4152
62357,8,2020-03-02 17:46:58,3085
42069,3,2020-03-14 10:33:39,3012
30378,5,2020-02-27 15:24:15,3045
91712,2,2020-03-13 02:05:59,4153
2193,2,2020-03-13 11:52:27,4100
26111,4,2020-03-07 21:24:40,3046
95751,8,2020-03-13 00:56:59,3045
25859,5,2020-03-07 09:45:32,3046
64531,3,2020-03-16 20:28:11,3012
35610,7,2020-03-10 08:00:08,3036
98457,7,2020-03-16 04:55:13,3116
9776,4,2020-03-02 07:42:48,4181
24220,4,2020-03-06 10:12:31,4170
22038,8,2020-03-11 11:34:24,4047
58639,5,2020-03-08 07:28:43,4159
91126,8,2020-02-28 07:27:42,4156
79696,1,2020-03-18 09:41:14,3013
34702,7,2020-03-01 18:13:33,3045
89487,8,2020-03-24 11:38:53,4102
9804,1,2020-03-07 16:57:37,3026
70739,8,2020-03-22 07:37:38,3060
59455,2,2020-03-03 20:59:43,3081
56101,3,2020-03-17 19:44:41,3091
86186,5,2020-03-11 14:19:18,4046
66386,8,2020-03-24 21:14:04,4048
42281,3,2020-03-03 22:11:23,4107
79447,2,2020-02-28 11:14:12,4181
72184,8,2020-03-11 07:43:26,4008
37045,1,2020-03-25 18:36:48,4004
34017,8,2020-03-12 20:06:20,3025
20594,1,2020-03-12 04:59:20,4108
48659,1,2020-03-11 09:31:24,4003
85554,8,2020-03-23 08:40:27,3105
37852,7,2020-03-10 18:54:30,4151
99158,2,2020-03-05 00:53:30,4155
69544,2,2020-03-05 07:54:52,4103
97902,4,2020-02-27 16:53:01,4185
88641,2,2020-03-08 17:28:05,3030
21507,4,2020-03-03 01:17:08,4190
85442,1,2020-02-29 14:27:32,3032
99259,2,2020-03-05 13:54:00,4005
65881,1,2020-03-19 20:19:21,3150
90404,1,2020-02-28 02:21:08,4048
63842,5,2020-03-24 21:43:19,3047
88732,6,2020-03-09 17:19:21,4101
56923,7,2020-03-01 18:37:22,3086
79066,7,2020-03-09 23:15:35,3117
41319,7,2020-03-19 15:45:05,4181
76186,5,2020-03-04 07:31:32,4100
12741,2,2020-03-11 07:22:28,4006
23522,1,2020-03-12 03:18:27,4043
47750,8,2020-03-20 04:20:19,3015
35811,7,2020-03-03 08:36:56,4101
58370,6,2020-03-10 19:54:26,4004
39971,6,2020-02-29 05:29:47,3045
25470,8,2020-03-04 06:18:19,3060
74200,7,2020-03-12 03:30:09,4130
16996,3,2020-03-25 21:02:32,3107
89197,2,2020-03-17 08:45:37,3075
87695,2,2020-03-10 02:00:36,4158
35609,5,2020-03-07 10:00:23,3115
80928,7,2020-03-26 05:48:11,3101
86337,7,2020-03-26 21:37:08,4184
45704,4,2020-03-08 17:10:51,3022
31103,6,2020-02-29 13:21:44,4188
34556,8,2020-03-08 04:12:45,4001
68138,3,2020-03-05 15:51:17,3035
58532,2,2020-03-10 21:55:37,4159
22338,5,2020-03-22 11:19:22,4107
29005,6,2020-03-25 17:55:06,3017
84763,4,2020-03-18 15:15:44,3060
37337,8,2020-03-25 23:50:23,4047
49730,3,2020-03-12 15:43:56,3112
76834,6,2020-03-27 17:36:45,3115
17434,2,2020-02-27 11:04:13,3120
66118,5,2020-03-25 19:54:56,4189
42455,7,2020-03-06 21:05:32,3091
89340,3,2020-03-23 20:13:48,4185
71230,7,2020-03-12 15:48:03,3086
69162,8,2020-03-18 12:43:59,3111
4494,2,2020-03-20 06:44:31,4046
78225,7,2020-03-05 13:33:26,3040
69286,3,2020-03-08 07:21:20,3106
3725,2,2020-03-24 11:44:00,4005
76057,4,2020-03-25 15:44:38,4190
42236,5,2020-03-05 07:37:08,4158
39700,7,2020-03-06 02:39:32,3050
64760,5,2020-03-21 11:45:49,3076
34116,7,2020-03-22 17:13:35,4048
70831,5,2020-03-07 23:08:49,3070
4057,2,2020-03-27 12:40:04,4002
94479,6,2020-03-17 09:51:09,4170
50658,2,2020-03-04 15:02:00,4159
27677,2,2020-02-28 16:46:44,3040
80530,5,2020-03-06 23:02:06,4043
75533,1,2020-02-27 15:53:30,4189
90990,5,2020-03-27 17:36:47,3047
59565,5,2020-03-03 05:11:41,4131
95053,7,2020-03-27 14:38:56,3086
18300,8,2020-02-29 10:31:07,4152
75302,6,2020-03-18 00:16:59,3016
53038,1,2020-03-21 10:50:31,3077
37826,4,2020-03-10 23:34:33,3115
86747,3,2020-03-19 20:37:51,3010
27806,7,2020-03-14 20:24:07,3070
21836,5,2020-03-05 05:51:13,3048
52255,2,2020-03-09 14:19:02,3060
24640,6,2020-03-10 13:56:24,3150
60770,6,2020-03-25 15:20:57,4170
12291,2,2020-03-01 15:59:22,3026
59579,5,2020-02-29 16:48:52,4040
20793,4,2020-03-13 21:52:43,3081
36446,5,2020-03-18 21:21:44,4130
70739,2,2020-03-07 19:53:41,3030
33530,5,2020-03-02 16:34:31,3087
68391,7,2020-03-22 04:28:26,3025
60353,1,2020-03-01 10:49:51,4040
55386,6,2020-03-22 02:58:55,3050
94551,5,2020-03-11 16:09:30,4040
55213,6,2020-03-10 08:58:37,4153
85221,7,2020-03-19 05:57:34,3065
41223,7,2020-03-05 20:00:38,3045
